CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
124,25,0,43,19,7,10,10,365,832,27,1
125,32,0,18,14,5,15,10,365,552,27,1
126,46,0,8,30,0,9,50,30,672,10,1
127,44,0,22,7,7,4,10,365,866,13,1
128,27,0,49,19,1,1,50,90,604,21,1
129,60,0,53,23,1,10,50,90,917,12,1
130,57,1,58,20,0,6,50,30,801,2,1
131,42,0,37,12,8,21,100,365,985,23,1
132,31,0,40,7,5,0,100,365,295,7,1
133,38,0,55,25,10,16,50,90,153,12,1
134,27,1,28,27,8,28,50,365,326,12,1
135,18,0,46,30,0,5,10,90,269,10,1
136,40,0,31,30,9,18,10,365,537,27,1
137,58,1,32,6,4,5,100,365,684,28,1
138,24,1,44,11,10,0,10,90,341,10,1
139,60,1,11,14,8,27,50,30,344,15,1
140,39,0,8,19,10,1,50,90,890,20,1
141,51,1,2,6,1,23,50,90,959,23,1
142,49,1,18,18,8,20,10,90,517,1,1
143,52,1,25,26,9,17,50,90,658,1,1
144,36,0,5,6,0,6,100,90,787,9,0
145,40,0,46,3,6,28,50,90,833,26,1
146,21,0,42,24,5,28,10,365,877,12,1
147,56,0,7,22,7,15,10,30,584,3,1
148,63,1,35,13,5,9,100,365,947,10,1
149,53,0,51,4,9,1,10,90,325,18,1
150,30,1,55,26,5,9,50,30,376,18,1
151,54,0,54,4,4,15,50,30,855,27,1
152,55,0,10,15,6,22,50,90,860,26,1
153,28,1,54,26,2,12,10,365,288,16,1
154,56,0,22,19,2,26,10,30,398,26,1
155,48,1,49,20,1,7,50,90,953,30,0
156,40,0,17,2,1,4,10,90,761,30,1
157,63,0,15,16,4,17,50,90,770,3,1
158,59,0,16,2,6,5,50,30,183,27,1
159,56,1,14,21,3,25,10,90,374,18,1
160,29,0,42,13,2,1,50,30,285,21,1
161,22,1,23,29,10,17,10,365,294,28,1
162,24,1,14,22,2,17,10,90,594,18,0
163,55,1,33,27,5,6,50,90,505,19,1
164,32,0,59,9,6,23,50,90,616,1,1
165,61,1,49,27,0,2,10,30,937,25,1
166,63,1,58,26,7,9,100,90,109,3,1
167,56,0,18,23,2,15,10,30,411,17,1
168,63,1,13,17,10,6,50,30,890,8,1
169,51,1,49,9,6,16,100,365,338,18,1
170,64,1,26,24,10,8,100,90,609,3,1
171,54,0,27,9,4,4,100,30,226,8,1
172,43,1,49,22,8,29,10,90,261,11,1
173,24,1,31,24,9,25,100,365,900,1,1
174,44,1,40,8,10,4,10,365,503,25,1
175,22,1,39,3,4,16,50,365,443,4,1
176,50,0,9,30,2,8,100,90,537,25,1
177,43,1,59,8,9,27,100,30,535,22,1
178,46,1,55,7,3,7,50,30,971,21,1
179,40,0,51,30,8,19,100,90,351,12,1
180,34,0,19,17,1,5,100,90,201,1,1
181,64,1,17,7,10,3,10,30,966,15,1
182,23,1,49,23,1,20,50,30,875,29,1
183,18,1,3,2,4,25,50,365,228,5,1
184,47,0,14,21,8,15,100,30,165,15,1
185,48,1,3,30,1,10,100,365,850,29,0
186,18,0,27,23,1,11,100,365,729,19,1
187,55,0,12,13,1,7,50,365,167,11,1
188,56,1,39,20,1,29,10,90,693,9,1
189,21,0,11,14,8,19,50,365,854,6,1
190,47,1,2,4,8,11,50,90,426,1,1
191,40,0,16,19,7,17,10,90,868,10,1
192,48,0,2,30,1,19,100,30,408,8,1
193,37,1,41,19,10,7,100,30,152,15,1
194,63,1,48,10,3,9,10,30,448,18,1
195,51,0,37,4,5,24,100,30,326,4,1
196,32,0,35,9,1,15,100,90,951,4,0
197,51,0,5,17,9,14,50,30,195,16,1
198,54,1,38,7,7,14,10,90,715,8,1
199,18,0,55,30,0,2,10,90,101,28,1
200,46,1,38,16,8,17,10,90,495,24,1
201,39,0,7,21,4,27,10,30,536,11,1
202,59,0,24,24,2,3,10,365,516,25,1
203,42,0,12,19,6,7,100,90,969,21,1
204,56,1,15,18,3,11,100,365,471,12,1
205,50,1,38,7,4,11,100,30,902,12,1
206,62,1,6,27,8,3,50,365,499,28,1
207,49,1,44,6,8,26,10,90,378,4,1
208,57,0,46,19,3,5,100,30,553,30,1
209,63,1,39,20,3,8,100,365,165,27,1
210,42,0,58,1,3,10,50,90,733,2,0
211,32,0,2,10,3,16,10,90,103,3,1
212,42,1,45,28,4,30,100,30,335,6,1
213,52,0,56,14,10,29,50,90,719,4,1
214,37,1,45,9,7,29,50,90,460,11,1
215,37,0,55,10,9,15,10,90,272,16,1
216,51,0,9,16,6,19,50,30,995,30,1
217,50,0,55,27,8,10,100,90,777,14,1
218,61,0,10,20,8,27,10,90,836,18,1
219,65,1,44,4,10,28,50,90,890,15,1
220,35,1,21,26,7,13,10,30,570,17,1
221,33,0,43,12,10,13,50,365,204,9,1
222,27,0,40,6,6,2,10,365,595,10,1
223,38,0,47,11,3,5,10,30,788,4,1
224,65,1,33,13,2,23,50,365,142,27,1
225,47,0,37,1,5,8,100,90,798,19,1
226,20,1,7,7,2,16,10,90,867,24,0
227,60,1,14,13,1,21,50,90,904,6,1
228,44,1,2,27,7,12,100,90,936,3,1
229,25,1,19,6,9,1,50,90,759,4,1
230,46,0,43,7,10,27,10,365,134,1,1
231,31,1,46,13,3,20,10,365,211,7,1
232,34,0,21,13,1,27,100,90,910,21,1
233,60,0,44,25,7,23,10,90,944,30,1
234,33,0,40,26,3,22,50,365,293,30,1
235,54,0,19,26,2,3,100,90,656,20,1
236,33,0,1,1,7,18,10,30,411,16,1
237,45,0,53,6,2,13,10,90,841,21,1
238,44,0,18,14,4,2,10,90,249,9,1
239,43,1,29,16,6,20,10,90,493,23,1
240,44,0,34,26,4,12,100,365,353,16,1
241,22,1,24,12,0,30,50,365,857,7,1
242,46,0,19,7,5,4,10,30,771,21,1
243,34,0,20,29,0,4,10,365,580,4,0
244,41,1,56,2,4,24,100,90,353,16,1
245,54,0,33,19,1,19,10,90,802,6,1
246,44,0,50,19,5,28,50,30,618,24,1
247,21,1,58,4,10,16,10,30,985,10,1
248,55,1,17,5,3,19,100,30,957,8,1
249,50,1,37,18,0,23,10,365,148,25,1
250,29,0,56,12,9,25,100,30,144,19,1
251,22,0,18,25,6,28,100,30,494,27,1
252,49,1,18,20,0,4,100,90,642,5,0
253,51,0,51,16,5,11,50,365,213,27,1
254,21,1,46,13,0,23,10,30,823,18,1
255,20,1,30,15,8,6,50,30,582,29,1
256,58,0,51,23,0,2,50,30,782,21,1
257,53,0,1,4,7,24,100,365,598,4,1
258,21,1,17,29,7,28,50,30,990,28,1
259,62,0,25,20,10,23,10,365,784,23,1
260,44,1,3,19,0,12,50,365,268,1,1
261,27,1,18,16,6,4,50,365,575,11,1
262,64,1,60,26,3,9,10,90,783,30,1
263,60,1,34,13,5,7,50,30,504,24,1
264,21,1,20,1,1,7,100,90,326,8,1
265,53,0,30,23,3,30,50,30,588,22,1
266,36,0,52,2,3,13,10,90,486,25,1
267,62,0,22,24,9,23,100,30,922,4,1
268,22,0,35,5,2,11,10,90,892,30,1
269,65,0,16,7,5,20,10,365,165,15,1
270,58,0,29,5,5,26,50,90,262,2,1
271,54,1,56,7,7,4,50,365,206,20,1
272,32,0,9,12,4,30,100,90,936,23,1
273,49,1,14,16,9,24,10,30,285,23,1
274,64,1,25,20,0,23,50,365,141,12,1
275,47,0,56,27,5,5,50,30,803,21,1
276,35,1,57,11,4,21,50,365,532,12,1
277,63,1,44,15,0,3,100,90,752,26,1
278,48,0,36,20,1,11,50,30,674,25,1
279,54,1,3,17,4,27,50,365,401,21,1
280,18,1,7,27,8,2,100,30,146,29,1
281,46,1,9,26,0,28,50,90,569,27,1
282,52,1,33,28,7,11,10,90,726,27,1
283,31,0,50,10,7,11,100,30,404,26,1
284,18,0,26,7,9,11,50,90,795,26,1
285,46,0,48,18,1,29,10,30,817,5,1
286,28,1,12,6,8,9,100,90,297,27,1
287,29,0,38,20,5,26,50,30,563,13,1
288,61,1,27,19,2,11,50,365,225,8,1
289,35,0,46,16,1,10,50,30,411,12,1
290,19,0,48,4,10,3,10,30,684,3,1
291,42,0,8,9,6,3,100,365,704,26,1
292,59,0,57,2,2,14,100,90,183,10,1
293,20,0,29,12,9,3,100,30,908,28,1
294,62,0,51,1,1,21,100,365,417,15,1
295,20,1,40,1,4,16,100,90,490,18,1
296,60,1,55,27,1,30,100,365,730,11,1
297,19,1,54,10,9,12,50,90,604,8,1
298,52,0,13,21,2,2,100,365,379,17,1
299,65,0,59,1,8,9,10,365,916,22,1
300,64,0,53,30,9,28,10,90,361,21,1
301,21,0,45,27,4,17,50,365,547,29,1
302,55,1,30,20,0,2,50,365,395,25,1
303,63,0,30,26,0,24,50,30,683,3,1
304,63,1,3,8,1,20,10,90,798,4,1
305,58,0,36,6,6,18,50,90,519,18,1
306,50,1,16,18,2,30,100,365,350,5,1
307,29,1,8,8,3,14,100,365,748,21,1
308,34,0,35,27,6,2,10,365,261,15,1
309,32,0,47,1,1,22,50,30,938,21,1
310,28,0,18,6,5,15,100,365,193,26,1
311,46,1,44,14,8,23,50,365,428,23,1
312,57,1,14,13,8,25,50,365,314,24,1
313,59,1,34,19,8,6,10,30,309,23,1
314,22,0,43,14,2,0,50,30,629,5,1
315,29,1,59,5,5,12,50,365,209,12,1
316,57,1,29,27,2,1,100,30,279,24,1
317,35,0,3,13,10,19,10,365,554,15,1
318,64,0,13,3,5,30,100,365,967,30,1
319,55,1,51,28,8,23,100,90,866,1,1
320,60,0,7,6,9,24,50,365,758,23,1
321,62,0,44,17,4,11,50,30,258,23,1
322,54,0,9,11,1,9,10,30,479,18,1
323,45,0,10,23,10,19,50,90,730,28,1
324,41,1,23,6,3,20,100,30,327,23,1
325,28,1,2,14,4,4,100,365,384,20,1
326,47,0,59,12,6,4,10,365,557,10,1
327,41,0,33,12,10,16,50,30,921,6,1
328,31,0,43,4,4,2,50,30,873,14,1
329,37,1,13,6,7,11,10,90,206,17,1
330,23,0,30,12,10,5,50,30,941,11,1
331,39,1,11,9,9,15,50,90,751,13,1
332,42,1,48,9,0,1,50,30,428,24,1
333,56,1,47,3,6,23,100,90,883,15,1
334,49,1,22,19,7,4,10,90,205,5,1
335,28,1,2,6,1,20,100,365,520,16,0
336,55,1,14,1,8,1,100,30,216,27,1
337,44,1,42,4,3,3,10,365,861,24,0
338,21,0,52,5,7,29,10,30,708,16,1
339,45,0,31,14,3,28,100,365,806,1,1
340,65,1,36,5,4,29,10,365,352,28,1
341,48,1,37,7,1,24,100,30,872,25,1
342,21,1,31,16,0,12,100,30,102,3,1
343,43,1,40,19,10,27,10,365,694,7,1
344,60,0,50,11,1,7,50,365,937,14,1
345,52,0,14,18,2,29,10,365,786,30,1
346,63,1,8,17,6,20,100,30,948,15,1
347,19,1,10,16,5,8,50,30,403,27,1
348,60,0,31,27,3,11,10,365,566,16,1
349,26,0,29,8,2,3,50,90,692,17,1
350,23,1,43,11,6,19,10,365,433,4,1
351,51,0,34,30,8,22,50,30,978,11,1
352,29,0,60,3,7,27,10,30,540,17,1
353,39,1,14,10,1,30,100,90,459,22,1
354,21,1,5,23,7,23,100,30,645,18,1
355,32,1,45,19,4,23,50,90,783,24,1
356,24,1,49,3,7,23,100,365,723,15,1
357,65,0,52,27,4,30,10,90,923,7,1
358,36,1,38,2,2,22,100,30,871,8,1
359,35,1,1,21,4,9,50,90,113,18,1
360,18,1,56,9,5,23,10,30,265,24,1
361,31,0,34,24,7,16,50,365,886,14,1
362,62,0,12,7,4,24,100,90,921,14,1
363,43,0,34,24,1,18,100,90,191,27,1
364,27,0,11,13,3,13,50,30,264,4,1
365,57,0,34,18,8,8,10,90,609,8,1
366,56,1,5,12,4,5,10,30,249,10,1
367,20,1,2,6,7,5,100,30,786,13,1
368,39,0,31,24,2,20,10,90,914,24,1
369,46,0,51,9,8,11,50,90,358,2,1
370,52,0,27,15,6,15,50,365,427,15,1
371,22,0,22,1,8,17,50,365,606,14,1
372,24,1,20,8,8,24,100,365,984,25,1
373,62,1,55,3,6,16,100,365,531,28,1
374,39,0,52,11,0,20,50,30,361,13,1
375,32,1,24,26,6,24,50,30,411,17,1
376,49,0,21,20,9,6,50,90,277,24,1
377,22,0,3,27,3,5,100,365,968,14,1
378,38,1,15,14,2,29,100,30,847,30,1
379,41,0,50,22,6,11,100,30,839,26,1
380,45,0,51,8,6,12,10,90,451,20,1
381,51,1,4,20,9,0,50,30,901,4,1
382,58,0,21,25,3,0,10,30,435,6,1
383,43,1,18,6,2,2,50,365,195,10,1
384,23,0,51,5,9,22,100,365,311,14,1
385,24,1,8,23,8,18,50,365,142,9,1
386,21,0,2,7,6,22,10,90,125,24,1
387,42,0,19,22,1,23,50,90,247,4,1
388,39,0,19,16,6,19,50,90,896,7,1
389,35,1,58,16,10,29,10,365,845,5,1
390,23,1,34,3,4,8,10,90,392,25,1
391,35,0,40,18,2,14,100,90,363,10,1
392,56,1,15,11,7,30,100,90,377,14,1
393,20,0,27,28,9,11,50,365,964,26,1
394,59,0,9,3,0,29,100,365,559,26,1
395,33,0,34,10,9,2,100,90,691,29,1
396,59,0,50,21,9,14,100,30,142,4,1
397,39,0,10,28,6,16,50,90,104,8,1
398,62,0,8,4,8,13,10,30,187,19,1
399,39,0,48,5,6,17,50,90,107,3,1
400,26,1,33,9,4,28,100,30,748,6,1
401,53,0,13,25,2,20,10,90,341,23,1
402,49,1,22,26,4,4,50,30,952,30,1
403,39,0,11,6,2,25,100,365,476,12,1
404,44,0,47,26,3,28,10,365,886,27,1
405,33,1,29,6,6,16,50,30,102,29,1
406,61,1,9,20,6,22,50,365,809,7,1
407,56,0,36,16,3,27,10,365,638,4,1
408,43,0,27,10,2,14,10,30,335,15,1
409,65,0,3,22,6,27,100,90,966,14,1
410,44,1,8,11,6,20,10,365,183,9,1
411,63,0,7,13,8,20,100,30,101,7,1
412,28,1,40,29,0,29,50,30,109,29,1
413,26,0,11,12,7,13,10,365,785,1,1
414,23,1,50,22,8,10,10,30,732,1,1
415,57,1,18,20,7,4,50,30,427,24,1
416,51,0,12,23,1,21,50,30,840,22,1
417,18,1,23,19,9,30,10,365,437,20,1
418,49,0,55,30,5,2,10,30,487,28,1
419,59,1,46,24,10,12,50,365,429,22,1
420,47,0,11,28,9,21,100,30,738,3,1
421,55,1,49,3,6,13,100,90,831,9,1
422,21,0,46,15,3,12,10,365,106,28,1
423,51,1,1,30,4,13,10,90,192,19,1
424,38,1,47,27,7,23,100,90,862,30,1
425,56,1,49,10,8,13,50,30,535,12,1
426,27,1,37,20,10,17,100,30,117,14,1
427,61,1,13,13,4,14,10,365,324,30,1
428,48,0,45,21,8,12,50,90,835,24,1
429,43,0,34,6,1,29,50,30,992,19,1
430,44,1,8,8,5,8,100,30,910,1,1
431,41,1,42,10,9,1,50,365,324,2,1
432,52,0,32,25,8,1,100,30,214,15,1
433,56,0,31,23,9,21,100,30,777,16,1
434,35,1,23,23,1,5,100,90,742,24,0
435,21,0,44,2,6,26,100,90,534,25,1
436,38,1,41,6,10,26,10,30,278,16,1
437,59,1,50,4,9,22,100,365,522,13,1
438,57,1,2,30,7,19,50,90,951,12,1
439,36,0,26,25,4,8,10,365,508,23,1
440,18,0,30,25,7,19,10,30,224,17,1
441,63,0,6,11,1,24,10,365,583,3,1
442,55,1,55,4,10,19,50,365,383,28,1
443,28,1,49,27,3,18,100,90,414,25,1
444,18,0,39,24,0,22,50,90,974,17,1
445,40,0,42,5,1,19,100,365,696,15,0
446,38,0,58,3,1,17,50,90,808,23,1
447,64,1,39,26,9,0,100,365,406,27,1
448,59,0,51,13,3,4,50,30,661,7,1
449,21,1,4,27,9,11,100,30,616,14,1
450,56,0,35,26,5,3,10,365,360,21,1
451,25,0,42,13,8,13,100,30,849,4,1
452,23,1,12,10,6,20,50,90,614,9,1
453,40,0,33,2,7,1,50,30,854,1,1
454,52,0,56,26,0,10,50,365,301,26,1
455,43,0,42,25,1,25,10,90,381,13,1
456,37,0,44,11,7,7,50,365,899,23,1
457,39,0,53,24,10,1,50,90,714,14,1
458,37,1,38,11,3,19,50,365,374,12,1
459,34,1,3,15,4,12,100,365,854,26,1
460,54,0,1,13,0,14,100,365,361,28,1
461,29,1,21,19,9,13,50,90,943,7,1
462,26,1,53,26,9,14,100,365,475,11,1
463,42,1,50,15,6,29,10,90,600,4,1
464,44,1,32,28,5,16,50,365,107,23,1
465,49,1,45,13,9,8,10,365,917,16,1
466,37,0,40,2,6,30,50,30,996,4,1
467,31,0,59,2,1,6,10,30,579,11,1
468,30,0,49,6,4,16,100,365,464,19,1
469,28,0,2,16,4,9,100,30,555,8,1
470,37,1,22,30,10,27,50,90,600,27,1
471,62,0,37,27,4,23,10,30,905,6,1
472,44,0,5,7,1,30,10,30,153,21,1
473,29,0,32,16,3,19,10,90,725,6,1
474,21,0,7,14,0,24,10,30,138,1,1
475,18,0,25,9,3,7,50,365,588,24,1
476,40,1,13,1,2,16,50,90,659,1,1
477,48,1,32,17,6,6,100,90,521,29,1
478,41,1,37,21,2,10,50,30,922,23,1
479,20,0,46,24,9,9,50,30,860,16,1
480,30,1,33,11,2,12,50,90,864,1,0
481,31,1,58,16,2,26,10,30,923,10,1
482,43,0,12,6,8,24,10,365,943,24,1
483,49,1,49,12,8,6,100,90,686,16,1
484,32,1,18,3,2,13,10,30,399,29,1
485,65,0,17,10,7,10,50,30,278,27,1
486,48,1,59,20,5,6,100,90,297,3,1
487,27,0,22,16,9,14,50,30,196,16,1
488,50,1,43,3,0,24,50,90,443,7,1
489,29,1,32,17,0,15,100,365,290,7,1
490,42,0,48,7,8,14,50,365,938,30,1
491,48,1,48,18,3,9,100,30,899,9,1
492,51,0,7,25,5,28,10,90,398,6,1
493,19,1,14,9,6,28,50,30,426,19,1
494,29,0,45,15,0,6,10,90,440,18,1
495,57,0,44,26,2,25,100,90,548,18,1
496,37,1,54,15,7,12,10,30,615,6,1
497,43,0,2,3,4,11,10,365,374,5,1
498,30,1,19,29,5,27,100,30,967,16,1
499,59,1,55,5,7,5,50,90,798,8,1
500,58,0,26,29,8,25,50,90,586,20,1
501,29,0,1,16,10,25,100,30,464,1,1
502,30,1,23,6,4,15,50,30,170,6,1
503,49,0,60,24,6,3,50,90,997,22,1
504,59,0,38,9,7,27,10,365,359,20,1
505,28,1,14,11,6,0,10,90,592,3,1
506,44,0,31,25,1,0,50,365,573,25,1
507,29,0,54,20,4,12,100,90,823,18,1
508,24,1,49,11,4,28,100,30,745,23,1
509,39,1,9,17,5,4,50,90,206,16,1
510,33,1,58,11,5,18,100,365,215,4,1
511,28,1,1,8,0,25,100,365,888,20,1
512,62,0,36,28,3,14,50,365,456,8,1
513,53,1,45,14,1,10,100,90,473,12,1
514,48,1,38,9,4,6,10,365,757,8,0
515,36,1,3,28,10,9,10,365,140,6,1
516,26,1,1,6,10,26,10,365,523,19,1
517,46,1,39,29,4,10,50,30,588,7,1
518,43,1,16,25,2,17,10,365,759,8,0
519,21,0,17,28,8,17,50,365,445,24,1
520,60,1,29,17,6,11,10,90,271,29,1
521,28,1,29,26,10,7,50,90,458,16,1
522,47,1,6,16,2,2,100,90,928,3,0
523,29,0,45,18,3,22,100,90,458,8,1
524,46,0,47,4,3,23,50,365,905,4,1
525,34,0,60,14,7,19,10,90,877,11,1
526,18,0,23,16,9,24,50,30,717,12,1
527,46,0,49,28,1,19,10,30,348,3,1
528,20,0,37,13,3,25,10,30,718,14,1
529,52,1,33,4,0,1,10,30,903,27,1
530,59,0,12,2,2,2,10,365,224,23,1
531,56,0,39,10,9,10,50,30,737,3,1
532,44,1,48,29,3,1,10,365,809,30,0
533,53,1,25,1,4,12,10,365,141,29,1
534,28,0,27,27,5,29,100,30,928,22,1
535,56,0,32,11,6,9,50,30,569,28,1
536,29,0,30,30,3,6,10,365,327,2,1
537,18,1,37,26,6,19,10,30,517,8,1
538,60,1,55,6,10,16,10,30,789,17,1
539,21,1,35,3,10,14,10,365,790,9,1
540,18,0,51,17,10,15,100,90,812,5,1
541,46,1,3,1,5,9,50,365,495,14,1
542,61,0,21,27,0,8,50,365,950,25,1
543,38,0,20,3,2,12,10,30,309,5,1
544,28,1,13,17,0,10,100,365,919,11,0
545,49,1,13,20,3,30,10,30,610,1,1
546,37,1,46,21,9,12,10,365,840,18,1
547,55,0,51,25,2,26,50,90,620,9,1
548,52,0,11,30,1,2,10,90,861,20,1
549,57,0,11,13,1,27,100,90,178,16,1
550,29,0,20,18,9,23,50,365,931,15,1
551,43,1,31,5,1,25,10,365,539,18,1
552,36,1,55,24,5,18,10,365,175,24,1
553,46,0,23,2,3,7,100,30,677,29,1
554,20,1,60,8,8,14,10,365,725,14,1
555,19,1,59,5,3,23,50,365,136,18,1
556,38,1,32,8,3,18,10,365,413,28,1
557,27,0,12,6,8,17,10,365,700,3,1
558,38,0,12,28,2,18,50,30,856,28,1
559,62,1,47,21,2,25,100,30,222,30,1
560,38,1,54,25,1,0,100,30,809,24,1
561,28,1,38,11,9,2,50,30,407,22,1
562,29,0,44,20,1,9,10,30,935,24,1
563,23,1,11,2,7,16,10,30,918,20,1
564,44,1,44,23,3,8,100,90,308,17,1
565,24,1,28,5,5,2,100,30,772,27,1
566,43,0,54,25,5,7,100,30,640,18,1
567,21,1,55,7,1,18,50,90,629,25,0
568,45,0,56,20,4,11,50,90,776,26,1
569,48,1,40,29,6,18,10,90,492,3,1
570,20,1,42,4,9,13,100,365,710,25,1
571,58,1,18,1,3,6,50,365,358,30,1
572,51,0,36,18,9,26,50,90,226,10,1
573,51,0,31,15,6,24,50,30,473,23,1
574,36,0,50,19,7,17,10,30,465,5,1
575,59,1,41,28,1,13,100,365,342,2,1
576,27,0,35,19,8,11,10,30,607,25,1
577,25,1,47,25,4,1,50,30,462,3,1
578,20,1,15,23,0,6,10,365,156,11,1
579,31,1,15,13,2,7,100,30,167,14,1
580,36,1,13,10,3,16,10,30,511,8,1
581,41,1,60,24,8,22,50,30,719,8,1
582,40,0,54,29,1,3,50,90,334,10,1
583,34,0,53,21,10,11,10,90,336,15,1
584,30,1,16,13,3,15,10,90,132,26,1
585,27,1,44,5,10,29,50,90,443,13,1
